s/n,Age,Gender,Country,self_employed,family_history,treatment,no_employees,wellness_program,leave,care_options,obs_consequence,Continents,YearMonth
0,31-40,Female,United States,No,No,Yes,Less than 26,No,Somewhat easy,Not sure,No,North America,2014-08
1,41-50,Male,United States,No,No,No,More than 1000,Don't know,Don't know,No,No,North America,2014-08
2,31-40,Male,Canada,No,No,No,Less than 26,No,Somewhat difficult,No,No,North America,2014-08
3,31-40,Male,United Kingdom,No,Yes,Yes,26-100,No,Somewhat difficult,Yes,Yes,Europe,2014-08
4,31-40,Male,United States,No,No,No,100-500,Don't know,Don't know,No,No,North America,2014-08
5,31-40,Male,United States,No,Yes,No,Less than 26,No,Don't know,Not sure,No,North America,2014-08
6,31-40,Female,United States,No,Yes,Yes,Less than 26,No,Somewhat difficult,No,No,North America,2014-08
7,31-40,Male,Canada,No,No,No,Less than 26,No,Don't know,Yes,No,North America,2014-08
8,41-50,Female,United States,No,Yes,Yes,100-500,No,Very difficult,Yes,No,North America,2014-08
9,21-30,Male,Canada,No,No,No,26-100,Don't know,Don't know,No,No,North America,2014-08
10,31-40,Male,United States,No,No,Yes,Less than 26,No,Don't know,No,No,North America,2014-08
11,21-30,Male,Bulgaria,No,No,No,100-500,No,Don't know,Not sure,No,Europe,2014-08
12,41-50,Female,United States,No,Yes,Yes,26-100,No,Somewhat difficult,Yes,Yes,North America,2014-08
13,31-40,Male,United States,No,Yes,No,500-1000,No,Don't know,Not sure,No,North America,2014-08
14,21-30,Male,Canada,No,No,No,Less than 26,Don't know,Somewhat easy,Not sure,No,North America,2014-08
15,21-30,Female,United States,No,Yes,Yes,26-100,No,Somewhat easy,Not sure,No,North America,2014-08
16,21-30,Male,United Kingdom,No,No,Yes,26-100,Don't know,Very easy,No,No,Europe,2014-08
17,31-40,Male,United States,No,No,Yes,Less than 26,No,Don't know,Yes,No,North America,2014-08
18,41-50,Male,United States,Yes,Yes,No,Less than 26,Yes,Very easy,Not sure,Yes,North America,2014-08
19,31-40,Male,France,Yes,Yes,No,Less than 26,Yes,Somewhat easy,No,No,Europe,2014-08
20,21-30,Male,United States,No,Yes,Yes,100-500,No,Somewhat difficult,Yes,No,North America,2014-08
21,31-40,Male,United States,Yes,No,No,Less than 26,No,Somewhat difficult,No,No,North America,2014-08
22,41-50,Male,United States,No,No,Yes,26-100,No,Don't know,Yes,No,North America,2014-08
23,41-50,Male,United States,No,No,Yes,More than 1000,No,Don't know,No,No,North America,2014-08
24,31-40,Male,United States,No,Yes,Yes,26-100,Don't know,Don't know,Not sure,No,North America,2014-08
25,31-40,Male,United States,No,Yes,Yes,More than 1000,No,Very easy,Yes,No,North America,2014-08
26,31-40,Male,United States,No,No,No,Less than 26,No,Don't know,Not sure,No,North America,2014-08
27,31-40,Female,United States,No,Yes,Yes,Less than 26,Don't know,Don't know,Yes,No,North America,2014-08
28,31-40,Male,United States,No,No,Yes,26-100,No,Somewhat difficult,Not sure,No,North America,2014-08
29,31-40,Male,United Kingdom,No,No,No,Less than 26,No,Very difficult,No,No,Europe,2014-08
30,31-40,Male,United Kingdom,No,No,No,Less than 26,No,Don't know,No,No,Europe,2014-08
31,31-40,Male,United States,Yes,Yes,No,Less than 26,No,Somewhat difficult,Yes,Yes,North America,2014-08
32,21-30,Male,United Kingdom,No,Yes,Yes,500-1000,No,Somewhat easy,No,No,Europe,2014-08
